metric,value
overall_cagr_pct,0.0
overall_alpha_pct,-13.9616
vs_nifty_cagr_pct,13.9616
overall_sharpe,0.0
overall_sortino,10.0
overall_max_drawdown_pct,0.0
overall_win_rate_pct,0.0
overall_profit_factor,0.0
total_trades,0
total_folds,46
folds_passing_gate,0
mean_cagr_pct,0.0
mean_sharpe,0.0
mean_sortino,10.0
mean_max_drawdown_pct,0.0
worst_drawdown_pct,0.0
mean_win_rate_pct,nan
mean_profit_factor,nan
mean_alpha_pct,-15.9792
passes_gate,False
