fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
1,MOIL.NS,Metals,2021-01-01,2021-01-15,125.06,124.16,479,59903.74,64,0.125,MAX_AGE,-428.97,-0.7161,False
1,LALPATHLAB.NS,Healthcare,2021-01-01,2021-01-15,1158.01,1104.25,51,59058.51,64,0.125,MAX_AGE,-2741.54,-4.6421,False
1,EICHERMOT.NS,Auto,2021-01-22,2021-01-27,2834.08,2659.89,21,59515.68,64,0.125,STOP,-3657.91,-6.1461,False
1,ASHOKLEY.NS,Auto,2021-01-22,2021-01-27,55.88,52.64,1070,59791.600000000006,64,0.125,STOP,-3469.96,-5.8034,False
1,HAVELLS.NS,Consumer,2021-01-22,2021-01-29,1085.64,1013.03,55,59710.200000000004,64,0.125,STOP,-3993.42,-6.688,False
1,HEROMOTOCO.NS,Auto,2021-01-22,2021-02-08,2785.38,2884.5,21,58492.98,64,0.125,MAX_AGE,2081.44,3.5584,False
1,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.35,381.75,142,58979.700000000004,64,0.125,STOP,-4771.53,-8.0901,False
1,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,609.37,683.68,97,59108.89,64,0.125,TARGET,7207.7,12.1939,True
1,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.2,91.48,603,59214.6,64,0.125,STOP,-4052.25,-6.8433,False
1,MAHLIFE.NS,Realty,2021-02-15,2021-03-01,161.23,175.78,367,59171.409999999996,64,0.125,MAX_AGE,5340.56,9.0256,False
1,ATUL.NS,Chemicals,2021-02-15,2021-03-01,6607.04,6486.45,8,52856.32,64,0.125,MAX_AGE,-964.71,-1.8252,False
1,HINDPETRO.NS,Energy,2021-02-17,2021-03-03,124.81,132.5,474,59159.94,64,0.125,MAX_AGE,3643.82,6.1593,False
1,INDUSTOWER.NS,Telecom,2021-02-17,2021-03-03,242.55,243.73,244,59182.200000000004,64,0.125,MAX_AGE,287.93,0.4865,False
2,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.35,381.75,144,59810.4,64,0.125,STOP,-4838.73,-8.0901,False
2,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,609.37,683.68,98,59718.26,64,0.125,TARGET,7282.01,12.1939,True
2,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.2,91.48,610,59902.0,64,0.125,STOP,-4099.29,-6.8433,False
2,MAHLIFE.NS,Realty,2021-02-15,2021-03-01,161.23,175.78,372,59977.56,64,0.125,MAX_AGE,5413.31,9.0256,False
2,ATUL.NS,Chemicals,2021-02-15,2021-03-01,6607.04,6486.45,9,59463.36,64,0.125,MAX_AGE,-1085.3,-1.8252,False
