metric,value
overall_cagr_pct,-0.6762
overall_alpha_pct,-14.6378
vs_nifty_cagr_pct,13.9616
overall_sharpe,-0.5651
overall_sortino,-0.4038
overall_max_drawdown_pct,16.7634
overall_win_rate_pct,9.05
overall_profit_factor,3.9263
total_trades,1846
total_folds,46
folds_passing_gate,0
mean_cagr_pct,9.5566
mean_sharpe,-0.1112
mean_sortino,0.3706
mean_max_drawdown_pct,2.5925
worst_drawdown_pct,7.897
mean_win_rate_pct,8.01
mean_profit_factor,29.3119
mean_alpha_pct,-6.4226
passes_gate,False
