date,portfolio_value,fold_id
2021-01-01,1000000.0,1
2021-01-04,1000900.76,1
2021-01-05,1001105.98,1
2021-01-06,1000989.39,1
2021-01-07,1002731.86,1
2021-01-08,1002068.08,1
2021-01-11,1000029.35,1
2021-01-12,999658.93,1
2021-01-13,1002588.43,1
2021-01-14,1000495.03,1
2021-01-15,996829.5,1
2021-01-18,996829.5,1
2021-01-19,996829.5,1
2021-01-20,996829.5,1
2021-01-21,996829.5,1
2021-01-22,996829.5,1
2021-01-25,994117.56,1
2021-01-27,989067.19,1
2021-01-28,993404.31,1
2021-01-29,983648.23,1
2021-02-01,985114.5,1
2021-02-02,984303.38,1
2021-02-03,985810.36,1
2021-02-04,986848.54,1
2021-02-05,986649.23,1
2021-02-08,987789.65,1
2021-02-09,987789.65,1
2021-02-10,987789.65,1
2021-02-11,987789.65,1
2021-02-12,987789.65,1
2021-02-15,987789.65,1
2021-02-16,988807.2,1
2021-02-17,990100.8,1
2021-02-18,994683.66,1
2021-02-19,989815.13,1
2021-02-22,985398.25,1
2021-02-23,988741.0,1
2021-02-24,990603.53,1
2021-02-25,999240.07,1
2021-02-26,989799.47,1
2021-03-01,992847.62,1
2021-03-02,994714.75,1
2021-03-03,994481.16,1
2021-03-04,994481.16,1
2021-03-05,994481.16,1
2021-03-08,994481.16,1
2021-03-09,994481.16,1
2021-03-10,994481.16,1
2021-03-12,994481.16,1
2021-03-15,994481.16,1
2021-03-16,994481.16,1
2021-03-17,994481.16,1
2021-03-18,994481.16,1
2021-03-19,994481.16,1
2021-03-22,994481.16,1
2021-03-23,994481.16,1
2021-03-24,994481.16,1
2021-03-25,994481.16,1
2021-03-26,994481.16,1
2021-03-30,994481.16,1
2021-03-31,994481.16,1
2021-02-01,1000000.0,2
2021-02-02,1000000.0,2
2021-02-03,1000000.0,2
2021-02-04,1000000.0,2
2021-02-05,1000000.0,2
2021-02-08,1000000.0,2
2021-02-09,1000000.0,2
2021-02-10,1000000.0,2
2021-02-11,1000000.0,2
2021-02-12,1000000.0,2
2021-02-15,1000000.0,2
2021-02-16,1001078.09,2
2021-02-17,1002366.35,2
2021-02-18,1006917.53,2
2021-02-19,1001919.86,2
2021-02-22,997300.97,2
2021-02-23,1000808.42,2
2021-02-24,1002735.01,2
