date,portfolio_value,fold_id
2021-01-01,1000000.0,1
2021-01-04,1000000.0,1
2021-01-05,1000000.0,1
2021-01-06,1000000.0,1
2021-01-07,1000000.0,1
2021-01-08,1000000.0,1
2021-01-11,1000000.0,1
2021-01-12,1000000.0,1
2021-01-13,1000000.0,1
2021-01-14,1000000.0,1
2021-01-15,1000000.0,1
2021-01-18,1000000.0,1
2021-01-19,1000000.0,1
2021-01-20,1000000.0,1
2021-01-21,1000000.0,1
2021-01-22,1000000.0,1
2021-01-25,1000000.0,1
2021-01-27,1000000.0,1
2021-01-28,1000000.0,1
2021-01-29,1000000.0,1
2021-02-01,1000000.0,1
2021-02-02,1000000.0,1
2021-02-03,1000000.0,1
2021-02-04,1000000.0,1
2021-02-05,1000000.0,1
2021-02-08,1000000.0,1
2021-02-09,1000000.0,1
2021-02-10,1000000.0,1
2021-02-11,1000000.0,1
2021-02-12,1000000.0,1
2021-02-15,1000000.0,1
2021-02-16,1000217.53,1
2021-02-17,1001678.83,1
2021-02-18,1003358.86,1
2021-02-19,999221.42,1
2021-02-22,995162.83,1
2021-02-23,995363.77,1
2021-02-24,995571.43,1
2021-02-25,1003134.31,1
2021-02-26,998655.01,1
2021-03-01,1002293.25,1
2021-03-02,1003363.68,1
2021-03-03,1002899.54,1
2021-03-04,1003653.38,1
2021-03-05,1003317.25,1
2021-03-08,1004933.12,1
2021-03-09,1004954.01,1
2021-03-10,1004951.64,1
2021-03-12,1005127.63,1
2021-03-15,1004898.32,1
2021-03-16,1004741.51,1
2021-03-17,1001999.48,1
2021-03-18,1000831.76,1
2021-03-19,1001278.31,1
2021-03-22,1001451.46,1
2021-03-23,1001290.46,1
2021-03-24,1001885.87,1
2021-03-25,1002247.36,1
2021-03-26,1002949.09,1
2021-03-30,1003492.84,1
2021-03-31,1003893.29,1
2021-02-01,1000000.0,2
2021-02-02,1000000.0,2
2021-02-03,1000000.0,2
2021-02-04,1000000.0,2
2021-02-05,1000000.0,2
2021-02-08,1000000.0,2
2021-02-09,1000000.0,2
2021-02-10,1000000.0,2
2021-02-11,1000000.0,2
2021-02-12,1000000.0,2
2021-02-15,1000000.0,2
2021-02-16,1000217.53,2
2021-02-17,1001678.83,2
2021-02-18,1003358.86,2
2021-02-19,999221.42,2
2021-02-22,995162.83,2
2021-02-23,995363.77,2
2021-02-24,995571.43,2
2021-02-25,1003134.31,2
2021-02-26,998655.01,2
2021-03-01,1002293.25,2
2021-03-02,1003363.68,2
2021-03-03,1002899.54,2
2021-03-04,1003653.38,2
2021-03-05,1003317.25,2
2021-03-08,1004933.12,2
2021-03-09,1004954.01,2
2021-03-10,1004951.64,2
2021-03-12,1005127.63,2
2021-03-15,1004898.32,2
2021-03-16,1004741.51,2
2021-03-17,1001999.48,2
2021-03-18,1000831.76,2
2021-03-19,1001278.31,2
2021-03-22,1001451.46,2
2021-03-23,1001290.46,2
2021-03-24,1001885.87,2
2021-03-25,1002247.36,2
2021-03-26,1002949.09,2
2021-03-30,1003492.84,2
2021-03-31,1003893.29,2
2021-04-01,1003893.29,2
2021-04-05,1003893.29,2
2021-04-06,1003893.29,2
2021-04-07,1003893.29,2
2021-04-08,1003893.29,2
2021-04-09,1003893.29,2
