metric,value
overall_cagr_pct,8.2474
overall_alpha_pct,-5.7142
vs_nifty_cagr_pct,13.9616
overall_sharpe,0.8645
overall_sortino,0.608
overall_max_drawdown_pct,7.301
overall_win_rate_pct,62.41
overall_profit_factor,1.5945
total_trades,564
total_folds,46
folds_passing_gate,3
mean_cagr_pct,3.252
mean_sharpe,0.2948
mean_sortino,2.1925
mean_max_drawdown_pct,1.1577
worst_drawdown_pct,3.6954
mean_win_rate_pct,49.17
mean_profit_factor,1.9972
mean_alpha_pct,-12.7272
passes_gate,False
baseline_nifty_sharpe,0.9948
baseline_nifty_sortino,0.9523
baseline_nifty_max_dd_pct,17.2298
