fold_id,start_date,end_date,initial_value,final_value,cagr_pct,sharpe,sortino,max_drawdown_pct,max_dd_duration_days,win_rate_pct,profit_factor,total_trades,winning_trades,losing_trades,avg_hold_days,avg_win_pct,avg_loss_pct,alpha_pct,vs_nifty_cagr_pct,annualised_turnover,passes_gate,baseline_nifty_sharpe,baseline_nifty_sortino,baseline_nifty_max_dd_pct
1,2021-01-01,2021-03-31,1000000.0,1003981.34,1.6429,0.5781,0.3674,0.9319,6,50.0,1.4355,4,2,2,22.75,11.3171,-7.8742,-19.5342,21.1772,0.9817,False,1.0185,1.1268,6.8974
2,2021-02-01,2021-04-30,1000000.0,1003981.34,1.6617,0.5829,0.3737,0.9319,6,50.0,1.4355,4,2,2,22.75,11.3171,-7.8742,-8.8993,10.561,0.9916,False,0.6035,0.5515,6.6492
3,2021-03-01,2021-05-31,1000000.0,995875.94,-1.6439,-1.5071,-0.293,0.5808,4,0.0,0.0,4,0,4,2.0,0.0,-2.0345,-25.8985,24.2546,0.9564,False,1.3722,1.2411,6.2261
4,2021-04-01,2021-06-30,1000000.0,994323.33,-2.2823,-0.893,-0.5315,1.5874,8,50.0,0.6278,10,5,5,18.1,3.5539,-5.6157,-27.7089,25.4266,2.4098,False,1.7038,1.466,3.882
5,2021-05-01,2021-07-31,1000000.0,1003049.16,1.2286,0.3925,0.3434,1.5874,8,30.0,1.1761,10,3,7,27.0,12.6088,-4.5975,-33.4955,34.7242,2.3852,False,3.0486,3.5898,1.8343
6,2021-06-01,2021-08-31,1000000.0,1001733.78,0.6972,0.2526,0.1719,1.0206,8,30.0,1.1234,10,3,7,30.5,10.4868,-3.9985,-45.8615,46.5588,2.3776,False,4.3915,5.0531,1.8343
7,2021-07-01,2021-09-30,1000000.0,1034588.27,14.6126,2.4201,2.3747,2.6948,15,47.37,2.6792,19,9,10,31.58,10.2624,-3.4038,-44.9801,59.5928,4.4464,False,5.0455,6.0087,1.8343
8,2021-08-01,2021-10-31,1000000.0,1047118.78,20.2828,3.3793,4.5991,1.3426,3,57.14,3.5111,14,8,6,29.36,14.0875,-5.2506,-33.0559,53.3387,3.2255,False,4.1179,4.1653,4.3589
9,2021-09-01,2021-11-30,1000000.0,1011698.66,4.8299,1.3049,0.9788,1.2465,15,45.45,1.8058,11,5,6,22.73,9.0164,-4.178,7.0215,-2.1916,2.6333,False,-0.1087,-0.101,8.0849
10,2021-10-01,2021-12-31,1000000.0,992834.59,-2.8432,-0.5069,-0.3833,2.8131,28,40.0,0.5632,10,4,6,28.2,3.7258,-4.5878,1.1673,-4.0105,2.3287,False,-0.1908,-0.1771,10.082
11,2021-11-01,2022-01-31,1000000.0,987599.9,-4.8816,-1.5068,-1.0523,1.8875,11,25.0,0.44,8,2,6,18.0,8.078,-6.1453,7.6735,-12.5551,1.9057,False,-0.7503,-0.6913,8.2567
12,2021-12-01,2022-02-28,1000000.0,989881.35,-4.0851,-3.2844,-1.4095,1.1833,13,0.0,0.0,3,0,3,10.0,0.0,-5.6357,4.5301,-8.6152,0.733,False,-0.3225,-0.2999,11.2527
