metric,value
overall_cagr_pct,8.6627
overall_alpha_pct,-5.2989
vs_nifty_cagr_pct,13.9616
overall_sharpe,0.7352
overall_sortino,0.5176
overall_max_drawdown_pct,6.5314
overall_win_rate_pct,43.72
overall_profit_factor,1.6249
total_trades,366
total_folds,46
folds_passing_gate,3
mean_cagr_pct,3.4248
mean_sharpe,0.1609
mean_sortino,2.0007
mean_max_drawdown_pct,1.3725
worst_drawdown_pct,5.1313
mean_win_rate_pct,36.54
mean_profit_factor,1.9805
mean_alpha_pct,-12.5544
passes_gate,False
baseline_nifty_sharpe,0.9948
baseline_nifty_sortino,0.9523
baseline_nifty_max_dd_pct,17.2298
