metric,value
overall_cagr_pct,8.6918
overall_alpha_pct,-5.2698
vs_nifty_cagr_pct,13.9616
overall_sharpe,0.9413
overall_sortino,0.6146
overall_max_drawdown_pct,6.8131
overall_win_rate_pct,53.6
overall_profit_factor,1.624
total_trades,431
total_folds,46
folds_passing_gate,3
mean_cagr_pct,3.3608
mean_sharpe,0.3169
mean_sortino,2.1793
mean_max_drawdown_pct,1.0854
worst_drawdown_pct,3.0202
mean_win_rate_pct,43.18
mean_profit_factor,1.6443
mean_alpha_pct,-12.6184
passes_gate,False
baseline_nifty_sharpe,0.9948
baseline_nifty_sortino,0.9523
baseline_nifty_max_dd_pct,17.2298
