fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct,signal_score_raw,vix_at_entry,nifty_above_ema50_at_entry,fii_net_cr_at_entry,sector_score_at_entry,had_tier_a_news,mfe_pct,mae_pct,triggered_signals
42,TATACONSUM.NS,FMCG,2024-07-03,2024-07-23,1139.63,1230.49,52,59260.76000000001,64,0.125,TARGET,4635.57,7.8223,True,64,13.210000038146973,True,0.0,100,False,8.1347,1.4525,"MACD hist 2.0931 > 0 | Price ₹1138 > EMA20 ₹1098 | Price ₹1138 > EMA50 ₹1096 | Volume 2.5× average | Sector FMCG bullish (score 100) | Near 75d high (₹1163, -2.2% away) — breakout setup | Nifty +0.67% (FII data unavailable — market signal neutral)"
42,HCLTECH.NS,IT,2024-07-04,2024-07-26,1410.69,1522.45,42,59248.98,64,0.125,TARGET,4604.83,7.772,True,64,12.859999656677246,True,0.0,100,False,8.0848,0.9626,"⚠ RSI 77.1 > 75 (overbought — elevated reversal risk) | MACD hist 6.1390 > 0 | Price ₹1409 > EMA20 ₹1338 | Price ₹1409 > EMA50 ₹1313 | Volume 1.7× average | Sector IT bullish (score 100) | Near 75d high (₹1426, -1.2% away) — breakout setup | Nifty +0.06% (FII data unavailable — market signal neutral)"
42,OFSS.NS,IT,2024-07-18,2024-08-02,10164.67,9622.64,6,60988.020000000004,64,0.125,STOP,-3332.63,-5.4644,False,64,14.510000228881836,True,0.0,100,False,3.0669,5.1902,"MACD hist 3.7460 > 0 | Price ₹10149 > EMA20 ₹9442 | Price ₹10149 > EMA50 ₹8387 | Volume 1.5× average | Sector IT bullish (score 100) | Near 75d high (₹10426, -2.6% away) — breakout setup | Nifty +0.76% (FII data unavailable — market signal neutral)"
42,TCS.NS,IT,2024-07-15,2024-08-13,3944.25,3967.8,15,59163.75,64,0.125,MAX_AGE,270.32,0.4569,True,64,14.1899995803833,True,0.0,100,False,5.5528,0.2576,"MACD hist 18.7335 > 0 | Price ₹3938 > EMA20 ₹3746 | Price ₹3938 > EMA50 ₹3686 | Volume 1.5× average | Sector IT bullish (score 100) | Near 75d high (₹4005, -1.7% away) — breakout setup | Nifty +0.35% (FII data unavailable — market signal neutral)"
42,HINDUNILVR.NS,FMCG,2024-07-18,2024-08-16,2661.83,2663.4,22,58560.259999999995,64,0.125,MAX_AGE,-47.1,-0.0804,False,64,14.510000228881836,True,0.0,100,False,0.8693,1.8637,"⚠ RSI 79.8 > 75 (overbought — elevated reversal risk) | MACD hist 14.8825 > 0 | Price ₹2658 > EMA20 ₹2491 | Price ₹2658 > EMA50 ₹2382 | Volume 2.5× average | Sector FMCG bullish (score 100) | Near 75d high (₹2670, -0.5% away) — breakout setup | Nifty +0.76% (FII data unavailable — market signal neutral)"
43,BHEL.NS,Infrastructure,2024-07-05,2024-07-19,315.94,292.8,189,59712.659999999996,64,0.125,STOP,-4450.57,-7.4533,False,64,12.699999809265137,True,0.0,100,False,4.9958,7.1859,"MACD hist 1.4672 > 0 | Price ₹315 > EMA20 ₹299 | Price ₹315 > EMA50 ₹289 | Volume 1.6× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹322, -1.9% away) — breakout setup | Nifty +0.09% (FII data unavailable — market signal neutral)"
43,ITC.NS,FMCG,2024-07-09,2024-07-19,413.25,432.0,145,59921.25,64,0.125,TARGET,2631.47,4.3915,True,64,14.279999732971191,True,0.0,100,False,4.6933,0.4029,"MACD hist 2.2491 > 0 | Price ₹413 > EMA20 ₹393 | Price ₹413 > EMA50 ₹390 | Volume 1.8× average | Sector FMCG bullish (score 100) | Near 75d high (₹415, -0.5% away) — breakout setup | Nifty +0.46% (FII data unavailable — market signal neutral)"
43,COFORGE.NS,IT,2024-07-02,2024-07-23,1113.18,1213.02,53,58998.54,64,0.125,TARGET,5201.94,8.8171,True,64,13.640000343322754,True,0.0,100,False,9.1329,1.7436,"MACD hist 5.8880 > 0 | Price ₹1112 > EMA20 ₹1047 | Price ₹1112 > EMA50 ₹1020 | Volume 1.9× average | Sector IT bullish (score 100) | Near 75d high (₹1155, -3.8% away) — breakout setup"
43,TATACONSUM.NS,FMCG,2024-07-03,2024-07-23,1139.63,1230.49,52,59260.76000000001,64,0.125,TARGET,4635.57,7.8223,True,64,13.210000038146973,True,0.0,100,False,8.1347,1.4525,"MACD hist 2.0931 > 0 | Price ₹1138 > EMA20 ₹1098 | Price ₹1138 > EMA50 ₹1096 | Volume 2.5× average | Sector FMCG bullish (score 100) | Near 75d high (₹1163, -2.2% away) — breakout setup | Nifty +0.67% (FII data unavailable — market signal neutral)"
43,HCLTECH.NS,IT,2024-07-04,2024-07-26,1410.69,1522.45,42,59248.98,64,0.125,TARGET,4604.83,7.772,True,64,12.859999656677246,True,0.0,100,False,8.0848,0.9626,"⚠ RSI 77.1 > 75 (overbought — elevated reversal risk) | MACD hist 6.1390 > 0 | Price ₹1409 > EMA20 ₹1338 | Price ₹1409 > EMA50 ₹1313 | Volume 1.7× average | Sector IT bullish (score 100) | Near 75d high (₹1426, -1.2% away) — breakout setup | Nifty +0.06% (FII data unavailable — market signal neutral)"
