metric,value
overall_cagr_pct,-0.2445
overall_alpha_pct,-14.2061
vs_nifty_cagr_pct,13.9616
overall_sharpe,-1.1651
overall_sortino,-0.5776
overall_max_drawdown_pct,9.1047
overall_win_rate_pct,34.11
overall_profit_factor,1.8448
total_trades,431
total_folds,46
folds_passing_gate,1
mean_cagr_pct,3.3608
mean_sharpe,-2.5452
mean_sortino,0.8699
mean_max_drawdown_pct,1.0854
worst_drawdown_pct,3.0202
mean_win_rate_pct,24.21
mean_profit_factor,6.254
mean_alpha_pct,-12.6184
passes_gate,False
baseline_nifty_sharpe,0.5463
baseline_nifty_sortino,0.5229
baseline_nifty_max_dd_pct,17.2298
