metric,value
overall_cagr_pct,6.3328
overall_alpha_pct,-7.6288
vs_nifty_cagr_pct,13.9616
overall_sharpe,0.5917
overall_sortino,0.3323
overall_max_drawdown_pct,9.482
overall_win_rate_pct,49.7
overall_profit_factor,1.3491
total_trades,507
total_folds,46
folds_passing_gate,2
mean_cagr_pct,2.5399
mean_sharpe,0.3134
mean_sortino,2.0354
mean_max_drawdown_pct,1.4409
worst_drawdown_pct,4.4916
mean_win_rate_pct,43.53
mean_profit_factor,1.4427
mean_alpha_pct,-13.4394
passes_gate,False
baseline_nifty_sharpe,0.9948
baseline_nifty_sortino,0.9523
baseline_nifty_max_dd_pct,17.2298
