fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct,signal_score_raw,vix_at_entry,nifty_above_ema50_at_entry,fii_net_cr_at_entry,sector_score_at_entry,had_tier_a_news,mfe_pct,mae_pct,triggered_signals
1,MOIL.NS,Metals,2021-01-01,2021-01-25,125.25,117.56,479,59994.75,64,0.125,STOP,-3761.97,-6.2705,False,64,0.0,True,0.0,100,False,4.8841,6.0014,"MACD hist 0.0924 > 0 | Price ₹125 > EMA20 ₹120 | Price ₹125 > EMA50 ₹116 | Volume 1.9× average | Sector Metals bullish (score 100) | Near 75d high (₹128, -2.1% away) — breakout setup | Nifty +0.26% (FII data unavailable — market signal neutral)"
1,EICHERMOT.NS,Auto,2021-01-22,2021-01-27,2838.33,2655.9,21,59604.93,64,0.125,STOP,-3908.74,-6.5578,False,64,0.0,True,0.0,100,False,0.0,6.2867,"⚠ RSI 79.9 > 75 (overbought — elevated reversal risk) | MACD hist 12.8377 > 0 | Price ₹2834 > EMA20 ₹2640 | Price ₹2834 > EMA50 ₹2474 | Volume 1.6× average | Sector Auto bullish (score 100) | Near 75d high (₹2895, -2.1% away) — breakout setup"
1,ASHOKLEY.NS,Auto,2021-01-22,2021-01-28,55.96,51.46,1072,59989.12,64,0.125,STOP,-4900.86,-8.1696,False,64,0.0,True,0.0,100,False,0.0,7.8986,"MACD hist 0.2029 > 0 | Price ₹56 > EMA20 ₹51 | Price ₹56 > EMA50 ₹47 | Volume 1.9× average | Sector Auto bullish (score 100) | Near 75d high (₹58, -3.9% away) — breakout setup"
1,HAVELLS.NS,Consumer,2021-01-22,2021-01-29,1087.27,1011.51,55,59799.85,64,0.125,STOP,-4244.32,-7.0975,False,64,0.0,True,0.0,100,False,5.3899,6.8279,"⚠ RSI 81.4 > 75 (overbought — elevated reversal risk) | MACD hist 10.2870 > 0 | Price ₹1086 > EMA20 ₹961 | Price ₹1086 > EMA50 ₹882 | Volume 1.8× average | Sector Consumer bullish (score 100) | Near 75d high (₹1118, -2.9% away) — breakout setup"
1,TVSMOTOR.NS,Auto,2021-01-22,2021-02-01,508.1,560.2,118,59955.8,64,0.125,TARGET,6055.69,10.1003,True,64,0.0,True,0.0,100,False,10.4199,0.0,"MACD hist 0.6020 > 0 | Price ₹507 > EMA20 ₹490 | Price ₹507 > EMA50 ₹478 | Volume 3.6× average | Sector Auto bullish (score 100) | Near 75d high (₹520, -2.4% away) — breakout setup"
1,HEROMOTOCO.NS,Auto,2021-01-22,2021-02-22,2789.56,2870.7,21,58580.76,64,0.125,MAX_AGE,1619.94,2.7653,True,64,0.0,True,0.0,100,False,8.1905,3.6663,"MACD hist 13.0830 > 0 | Price ₹2785 > EMA20 ₹2636 | Price ₹2785 > EMA50 ₹2574 | Volume 3.2× average | Sector Auto bullish (score 100) | Near 75d high (₹2875, -3.1% away) — breakout setup"
2,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.97,381.18,144,59899.68000000001,64,0.125,STOP,-5086.24,-8.4913,False,64,0.0,True,0.0,100,False,0.6981,8.2271,"MACD hist 1.5487 > 0 | Price ₹415 > EMA20 ₹395 | Price ₹415 > EMA50 ₹381 | Volume 1.7× average | Sector Realty bullish (score 100) | Near 75d high (₹426, -2.5% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
2,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,610.28,682.65,98,59807.439999999995,64,0.125,TARGET,6999.13,11.7028,True,64,0.0,True,0.0,100,False,12.0266,0.0,"⚠ RSI 78.2 > 75 (overbought — elevated reversal risk) | MACD hist 5.1570 > 0 | Price ₹609 > EMA20 ₹546 | Price ₹609 > EMA50 ₹498 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹621, -1.9% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
2,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.35,91.34,610,59993.5,64,0.125,STOP,-4353.73,-7.257,False,64,0.0,True,0.0,100,False,2.6503,6.9854,"⚠ RSI 77.0 > 75 (overbought — elevated reversal risk) | MACD hist 1.1144 > 0 | Price ₹98 > EMA20 ₹89 | Price ₹98 > EMA50 ₹85 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹99, -0.5% away) — breakout setup"
2,MAHLIFE.NS,Realty,2021-02-15,2021-03-16,161.47,179.58,371,59905.37,64,0.125,MAX_AGE,6625.98,11.0607,True,64,0.0,True,0.0,100,False,11.6349,4.1641,"⚠ RSI 86.8 > 75 (overbought — elevated reversal risk) | MACD hist 2.5030 > 0 | Price ₹161 > EMA20 ₹142 | Price ₹161 > EMA50 ₹126 | Volume 1.5× average | Sector Realty bullish (score 100) | Near 75d high (₹166, -2.8% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
