fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
21,ADANIPORTS.NS,Infrastructure,2022-09-09,2022-09-26,892.6,849.84,67,59804.200000000004,64,0.125,STOP,-2865.2,-4.791,False
21,SBIN.NS,Banking,2022-09-09,2022-09-28,514.07,487.6,116,59632.12,64,0.125,STOP,-3070.8,-5.1496,False
21,CANBK.NS,Banking,2022-10-20,2022-10-25,46.81,51.39,1247,58372.07,64,0.125,TARGET,5709.72,9.7816,True
21,BHEL.NS,Infrastructure,2022-10-19,2022-10-28,67.08,72.94,870,58359.6,64,0.125,TARGET,5099.14,8.7374,True
21,SAIL.NS,Metals,2022-10-27,2022-10-28,78.92,75.48,744,58716.48,64,0.125,STOP,-2557.46,-4.3556,False
21,METROPOLIS.NS,Healthcare,2022-10-25,2022-11-01,403.23,436.7,145,58468.350000000006,64,0.125,TARGET,4852.85,8.3,True
21,APOLLOHOSP.NS,Healthcare,2022-10-28,2022-11-02,4523.15,4341.02,13,58800.95,64,0.125,STOP,-2367.75,-4.0267,False
21,SBIN.NS,Banking,2022-10-18,2022-11-07,522.53,570.56,111,58000.829999999994,64,0.125,TARGET,5331.27,9.1917,True
21,PNB.NS,Banking,2022-10-20,2022-11-09,38.4,42.62,1521,58406.4,64,0.125,TARGET,6424.62,10.9999,True
21,CUMMINSIND.NS,Infrastructure,2022-10-27,2022-11-09,1192.79,1289.08,49,58446.71,64,0.125,TARGET,4718.13,8.0725,True
21,BHEL.NS,Infrastructure,2022-10-28,2022-11-15,72.94,69.86,807,58862.58,64,0.125,STOP,-2483.49,-4.2191,False
21,SUNPHARMA.NS,Pharma,2022-11-02,2022-11-18,1015.13,974.26,58,58877.54,64,0.125,STOP,-2370.45,-4.0261,False
21,COALINDIA.NS,Metals,2022-11-09,2022-11-18,191.56,183.01,313,59958.28,64,0.125,STOP,-2676.08,-4.4632,False
21,DRREDDY.NS,Pharma,2022-10-25,2022-11-24,870.86,865.28,67,58347.62,64,0.125,MAX_AGE,-374.13,-0.6412,False
21,ICICIBANK.NS,Banking,2022-10-27,2022-11-25,902.07,907.82,65,58634.55,64,0.125,MAX_AGE,374.04,0.6379,False
21,TCS.NS,IT,2022-11-01,2022-11-30,2931.22,3049.11,20,58624.399999999994,64,0.125,MAX_AGE,2357.78,4.0218,False
21,SBIN.NS,Banking,2022-11-07,2022-11-30,570.56,559.69,104,59338.23999999999,64,0.125,FOLD_END,-1130.5,-1.9052,False
21,ADANIENT.NS,Infrastructure,2022-11-09,2022-11-30,3991.72,3912.53,15,59875.799999999996,64,0.125,FOLD_END,-1187.81,-1.9838,False
21,ONGC.NS,Energy,2022-11-15,2022-11-30,113.53,118.16,527,59830.31,64,0.125,FOLD_END,2439.65,4.0776,False
21,KOTAKBANK.NS,Banking,2022-11-18,2022-11-30,390.71,388.22,152,59387.92,64,0.125,FOLD_END,-379.08,-0.6383,False
21,HINDZINC.NS,Metals,2022-11-18,2022-11-30,238.98,238.62,249,59506.02,64,0.125,FOLD_END,-89.81,-0.1509,False
21,IOC.NS,Energy,2022-11-24,2022-11-30,59.84,63.66,995,59540.8,64,0.125,FOLD_END,3796.82,6.3768,False
21,PERSISTENT.NS,IT,2022-11-25,2022-11-30,1933.98,2023.55,30,58019.4,64,0.125,FOLD_END,2687.05,4.6313,False
21,TCS.NS,IT,2022-11-30,2022-11-30,3049.11,3049.11,19,57933.090000000004,64,0.125,FOLD_END,-0.02,-0.0,False
22,CANBK.NS,Banking,2022-10-20,2022-10-25,46.81,51.39,1281,59963.61,64,0.125,TARGET,5865.4,9.7816,True
22,BHEL.NS,Infrastructure,2022-10-19,2022-10-28,67.08,72.94,894,59969.52,64,0.125,TARGET,5239.8,8.7374,True
22,SAIL.NS,Metals,2022-10-27,2022-10-28,78.92,75.48,764,60294.880000000005,64,0.125,STOP,-2626.2,-4.3556,False
22,METROPOLIS.NS,Healthcare,2022-10-25,2022-11-01,403.23,436.7,149,60081.270000000004,64,0.125,TARGET,4986.72,8.3,True
22,APOLLOHOSP.NS,Healthcare,2022-10-28,2022-11-02,4523.15,4341.02,13,58800.95,64,0.125,STOP,-2367.75,-4.0267,False
22,SBIN.NS,Banking,2022-10-18,2022-11-07,522.53,570.56,114,59568.42,64,0.125,TARGET,5475.36,9.1917,True
22,PNB.NS,Banking,2022-10-20,2022-11-09,38.4,42.62,1562,59980.799999999996,64,0.125,TARGET,6597.8,10.9999,True
22,CUMMINSIND.NS,Infrastructure,2022-10-27,2022-11-09,1192.79,1289.08,50,59639.5,64,0.125,TARGET,4814.42,8.0725,True
22,BHEL.NS,Infrastructure,2022-10-28,2022-11-15,72.94,69.86,829,60467.259999999995,64,0.125,STOP,-2551.19,-4.2191,False
22,SUNPHARMA.NS,Pharma,2022-11-02,2022-11-18,1015.13,974.26,59,59892.67,64,0.125,STOP,-2411.32,-4.0261,False
22,COALINDIA.NS,Metals,2022-11-09,2022-11-18,191.56,183.01,321,61490.76,64,0.125,STOP,-2744.48,-4.4632,False
22,DRREDDY.NS,Pharma,2022-10-25,2022-11-24,870.86,865.28,69,60089.340000000004,64,0.125,MAX_AGE,-385.3,-0.6412,False
22,ICICIBANK.NS,Banking,2022-10-27,2022-11-25,902.07,907.82,66,59536.62,64,0.125,MAX_AGE,379.79,0.6379,False
22,TCS.NS,IT,2022-11-01,2022-11-30,2931.22,3049.11,20,58624.399999999994,64,0.125,MAX_AGE,2357.78,4.0218,False
22,PERSISTENT.NS,IT,2022-11-25,2022-12-01,1933.98,2105.96,31,59953.38,64,0.125,TARGET,5331.29,8.8924,True
22,SBIN.NS,Banking,2022-11-07,2022-12-06,570.56,565.73,106,60479.35999999999,64,0.125,MAX_AGE,-512.13,-0.8468,False
22,ADANIENT.NS,Infrastructure,2022-11-09,2022-12-07,3991.72,3993.82,15,59875.799999999996,64,0.125,MAX_AGE,31.52,0.0526,False
22,TECHM.NS,IT,2022-12-01,2022-12-09,1004.27,943.91,61,61260.47,64,0.125,STOP,-3682.0,-6.0104,False
