metric,value
overall_cagr_pct,-0.8035
overall_alpha_pct,-14.7651
vs_nifty_cagr_pct,13.9616
overall_sharpe,-0.6171
overall_sortino,-0.4573
overall_max_drawdown_pct,15.9848
overall_win_rate_pct,25.16
overall_profit_factor,1.5661
total_trades,1367
total_folds,46
folds_passing_gate,0
mean_cagr_pct,7.5772
mean_sharpe,-0.49
mean_sortino,0.0369
mean_max_drawdown_pct,2.5143
worst_drawdown_pct,8.0048
mean_win_rate_pct,22.0
mean_profit_factor,12.7073
mean_alpha_pct,-8.402
passes_gate,False
