fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
1,LALPATHLAB.NS,Healthcare,2021-01-01,2021-01-15,1158.01,1104.25,51,59058.51,64,0.125,STOP,-2741.54,-4.6421,False
1,MOIL.NS,Metals,2021-01-01,2021-01-18,125.06,119.53,479,59903.74,64,0.125,STOP,-2646.95,-4.4187,False
1,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.35,381.75,143,59395.05,64,0.125,STOP,-4805.13,-8.0901,False
1,MAHLIFE.NS,Realty,2021-02-15,2021-02-22,161.23,154.75,370,59655.1,64,0.125,STOP,-2398.99,-4.0214,False
1,ATUL.NS,Chemicals,2021-02-15,2021-02-22,6607.04,6319.27,9,59463.36,64,0.125,STOP,-2589.96,-4.3555,False
1,INDUSTOWER.NS,Telecom,2021-02-17,2021-02-24,242.55,262.31,246,59667.3,64,0.125,TARGET,4860.37,8.1458,True
1,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,609.37,683.68,97,59108.89,64,0.125,TARGET,7207.7,12.1939,True
1,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.2,91.48,607,59607.4,64,0.125,STOP,-4079.13,-6.8433,False
1,HINDPETRO.NS,Energy,2021-02-17,2021-03-18,124.81,124.38,478,59659.18,64,0.125,MAX_AGE,-205.87,-0.3451,False
2,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.35,381.75,144,59810.4,64,0.125,STOP,-4838.73,-8.0901,False
2,MAHLIFE.NS,Realty,2021-02-15,2021-02-22,161.23,154.75,372,59977.56,64,0.125,STOP,-2411.96,-4.0214,False
2,ATUL.NS,Chemicals,2021-02-15,2021-02-22,6607.04,6319.27,9,59463.36,64,0.125,STOP,-2589.96,-4.3555,False
2,INDUSTOWER.NS,Telecom,2021-02-17,2021-02-24,242.55,262.31,247,59909.850000000006,64,0.125,TARGET,4880.13,8.1458,True
2,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,609.37,683.68,98,59718.26,64,0.125,TARGET,7282.01,12.1939,True
2,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.2,91.48,610,59902.0,64,0.125,STOP,-4099.29,-6.8433,False
