metric,value
overall_cagr_pct,-0.6507
overall_alpha_pct,-14.6123
vs_nifty_cagr_pct,13.9616
overall_sharpe,-0.7454
overall_sortino,-0.5511
overall_max_drawdown_pct,12.1562
overall_win_rate_pct,23.36
overall_profit_factor,1.5083
total_trades,1203
total_folds,46
folds_passing_gate,0
mean_cagr_pct,5.4702
mean_sharpe,-0.8683
mean_sortino,-0.3824
mean_max_drawdown_pct,2.2508
worst_drawdown_pct,5.6817
mean_win_rate_pct,21.25
mean_profit_factor,13.275
mean_alpha_pct,-10.509
passes_gate,False
